,Drift Rate,Boundary Separation,Non-decision Time,SAT
0,0.2771529596753116,1.3233657007544914,0.7652284586963667,Speed
1,0.338616534358886,2.4785839675759007,0.9917541870331974,Speed
2,0.0,0.8562601487921983,0.10051320427959765,Speed
3,0.10239009795662839,1.4087002057752187,0.10010320168141873,Speed
4,0.16969043690664695,2.6212082615271513,0.7483624441717107,Speed
5,0.22295223934388847,1.0710516803873573,0.7908741807305697,Speed
6,0.19525143791388921,0.7777839316796084,0.3634237728019801,Speed
7,0.23801106517660012,0.7494968711538914,0.6775076424737974,Speed
8,0.0,0.8362000731691922,0.15013503812995083,Speed
9,0.0,1.566038253322018,0.10188295672347181,Speed
10,0.6700891229075123,1.0911703557960042,0.9812244171563937,Speed
11,0.0,0.7513593955897576,0.37072725463729705,Speed
12,0.3046841845934253,1.035697260380635,0.7608126299646755,Speed
13,0.21262403864742047,1.5661089153900571,0.8164930152961554,Speed
14,0.102837346144827,1.2262636455834017,0.10207121521913759,Speed
15,0.02580697792256443,1.0066660115909827,0.7186627758345685,Speed
16,0.2621839254480777,1.431299524272446,0.13412206600376386,Speed
17,0.259758286958859,0.9293428167609383,0.2139102057062761,Speed
18,0.21863712111868053,1.4257144644188904,0.9426056202704276,Speed
19,0.24029310256607792,1.226674400366838,0.6518520010078283,Speed
20,0.24484846135355498,1.5492448825241172,0.2323542257293978,Speed
21,0.0,0.9704376612437045,0.3049087503909333,Speed
22,0.23164094947387173,0.7794419590858083,0.3044187009499559,Speed
23,0.19469963838905047,2.6344291492071137,0.9531740643861294,Speed
24,0.3787248913398016,0.6208982536769253,0.38523949562689463,Speed
25,0.2981921814160425,0.8468061340028147,0.4412281000755731,Speed
26,0.2344798022534541,1.3860982831315063,0.42173257697847216,Speed
27,0.16221723947608097,1.2904678318040907,0.10006219278355066,Speed
28,0.12211627368029812,1.9586090345974914,0.9915376738416308,Speed
29,0.1930811653935528,2.7979941872047163,0.9934941222261344,Speed
30,0.1321987620751125,0.7523267944650508,0.11475777506055901,Speed
31,0.18296503089904162,1.2626588390319513,0.10090394433915528,Speed
32,0.0,0.633017816605842,0.1068434495172475,Speed
33,0.046060189561928144,1.1094059923233761,0.14206843343239317,Speed
34,0.2684174136087604,1.4836416113652235,0.7995571953165452,Speed
35,0.3844027767553702,2.5019781172996947,0.3737288344234481,Speed
36,0.1890408908354422,1.549276101840948,0.9929388914925623,Speed
37,0.2734756299475477,1.303245383586241,0.1007563501225992,Speed
38,0.09424904077623122,3.512160515272361,0.990960573774893,Accuracy
39,0.20274003593503717,3.114006040406055,0.9827261449040227,Accuracy
40,0.038558366416895216,1.0523477711930258,0.3908191619685384,Accuracy
41,0.10144858550004741,1.7810462759645496,0.6780493973422134,Accuracy
42,0.13348193823105614,3.1734429082893385,0.9931371687724694,Accuracy
43,0.1483138974682701,3.6472990938173733,0.9853597589313867,Accuracy
44,0.2593761846065556,1.7164386052328329,0.9996837027480037,Accuracy
45,0.25233401261036553,1.5979722749260712,0.6170513028527718,Accuracy
46,0.01578159293044259,1.206266598670952,0.10090708307933571,Accuracy
47,0.11543623511026425,1.832899566403289,0.10189933939378354,Accuracy
48,0.226451374733528,3.3455090768041735,0.9905884947412218,Accuracy
49,0.09585040942923022,4.602066237987895,0.8930084437146291,Accuracy
50,0.26591505983656477,1.7640023652453847,0.995386059693049,Accuracy
51,0.21038999195536603,3.3917428876426956,0.943902062665327,Accuracy
52,0.18610321053510467,2.8587022128327475,0.8699332447334893,Accuracy
53,0.11038403941349068,4.096547887650881,0.97139576919292,Accuracy
54,0.2076194846845266,1.5882806860566507,0.9917643643688389,Accuracy
55,0.14517669758453494,1.9221395182445744,0.1084188069323106,Accuracy
56,0.12371634635028916,1.861861930780603,0.9388754431503119,Accuracy
57,0.2588123889237288,4.980611951185103,0.986889174461652,Accuracy
58,0.14907499842290756,1.230400808440808,0.8968494439402066,Accuracy
59,0.0,0.9342544625272584,0.5565029777634216,Accuracy
60,0.19008031154198426,2.1955226865721844,0.9831121782370856,Accuracy
61,0.17469323256830077,3.0510123664433038,0.9034273065537323,Accuracy
62,0.1365153850641981,0.9373421327713554,0.5713525971207013,Accuracy
63,0.07745260731984581,1.6267655195945807,0.10070013187883126,Accuracy
64,0.18869726550075563,2.8228904458428667,0.9986768757879645,Accuracy
65,0.22337310860314627,3.626380970442332,0.9587875725477748,Accuracy
66,0.11134766735628036,3.996929822593722,0.8261573660022996,Accuracy
67,0.20457342118037386,2.501025185600503,0.9738668827985106,Accuracy
68,0.29129061333031403,1.9741785028918604,0.7804167685560733,Accuracy
69,0.14676484737338774,2.9708119287735797,0.10127569792682917,Accuracy
70,0.4576681658622779,1.7661329624300495,0.4996768606950879,Accuracy
71,0.09792797445808242,1.6962995476098641,0.9879937047514463,Accuracy
72,0.3223356368008209,3.5173588237763145,0.9467968030926734,Accuracy
73,0.2274832804440933,3.291805462266163,0.5955142262065367,Accuracy
74,0.10690786548798036,1.627859454329873,0.9994572998902752,Accuracy
75,0.1300668293139684,3.4116300244715414,0.13160114968250164,Accuracy
