,Parameter,Difference
0,Drift Rate,-0.273203868530855
1,Drift Rate,1.0992598499997175
2,Drift Rate,-0.24952600956996518
3,Drift Rate,0.2901714225034546
4,Drift Rate,0.5530892602872786
5,Drift Rate,0.3161546700897149
6,Drift Rate,-0.569400535725016
7,Drift Rate,-0.16506432013551908
8,Drift Rate,0.28003477272234445
9,Drift Rate,0.22972851051747117
10,Drift Rate,0.5807567663590387
11,Drift Rate,-0.4098632353688221
12,Drift Rate,0.5639516284118556
13,Drift Rate,-0.08423864335324582
14,Drift Rate,0.0872387824690477
15,Drift Rate,0.5683208328624957
16,Drift Rate,0.48436933826447137
17,Drift Rate,0.6792970958143895
18,Drift Rate,0.15032745884377963
19,Drift Rate,0.03605078044717214
20,Drift Rate,0.9240484214349391
21,Drift Rate,0.6152909793941663
22,Drift Rate,0.33281442650874016
23,Drift Rate,0.5479403740892302
24,Drift Rate,-0.32367023918555726
25,Drift Rate,0.9343381066717693
26,Drift Rate,-0.21569499708972162
27,Drift Rate,0.24424718689829095
28,Drift Rate,-0.4901802594126643
29,Drift Rate,0.11160510207732177
30,Drift Rate,-0.19144466560423345
31,Drift Rate,0.03583525492410211
32,Drift Rate,0.1276653693959071
33,Drift Rate,-1.487042590347547
34,Drift Rate,-0.6389745027605847
35,Drift Rate,0.23300395427171594
36,Drift Rate,-0.1919372852056771
37,Drift Rate,-0.40458321184280654
38,Drift Rate,-0.11007313222315052
39,Drift Rate,0.10677550903208688
40,Drift Rate,0.6961203023404905
41,Drift Rate,0.29007058696053667
42,Drift Rate,0.16381078781816671
43,Drift Rate,-0.019582878375215995
44,Drift Rate,0.6803771518874624
45,Drift Rate,-0.25238624307591406
46,Drift Rate,0.6232555084149555
47,Boundary Separation,0.24617766038351352
48,Boundary Separation,1.7166005054632958
49,Boundary Separation,-0.19726522093391852
50,Boundary Separation,-6.975941105915764
51,Boundary Separation,-0.04767476764405343
52,Boundary Separation,-0.5280208860489071
53,Boundary Separation,0.18504230406020805
54,Boundary Separation,-0.6535317710050181
55,Boundary Separation,-1.8058786813977648
56,Boundary Separation,-0.830221328661441
57,Boundary Separation,-0.5502918805108306
58,Boundary Separation,1.4231852958360443
59,Boundary Separation,0.4883745317863277
60,Boundary Separation,0.05778007298850163
61,Boundary Separation,0.19670581747205507
62,Boundary Separation,-0.2831111410045246
63,Boundary Separation,0.7590752026967711
64,Boundary Separation,0.12689037933199554
65,Boundary Separation,-0.7646536659948557
66,Boundary Separation,-0.4228606829712964
67,Boundary Separation,-0.16736505183636385
68,Boundary Separation,-0.010358325669141522
69,Boundary Separation,-0.09048441785602268
70,Boundary Separation,-0.017342879748276196
71,Boundary Separation,0.7568740039213544
72,Boundary Separation,0.010413540546435396
73,Boundary Separation,0.19101688741057643
74,Boundary Separation,-0.5444367710798785
75,Boundary Separation,-0.5247671006921824
76,Boundary Separation,-1.5283949883049501
