,Frequency,SAT,Participant,v,a,ter,k,participant
2,1,1,,2.9370409256175103,0.500910758569562,0.352839283224722,-1.4556997508674958,1.0
3,1,2,,3.6945400556731456,0.5109495196373199,0.37794325179071775,-0.24116607086944575,1.0
4,2,1,,2.3198192884937145,0.5472118277795808,0.369312072165078,4.786905648878288,1.0
5,2,2,,2.279193391597364,1.0330616377610005,0.3289166296551067,4.690587192684779,1.0
6,3,1,,0.8861583214447704,0.5847571529943174,0.34013157607845346,3.030560985505139,1.0
7,3,2,,1.6635476431974265,0.7864064900273213,0.366088004169373,4.631949184649721,1.0
8,4,1,,2.3327357847148797,0.5015697892585855,0.34041554667429685,-0.780736983619826,1.0
9,4,2,,2.6758857190034475,0.5604906186782435,0.3870407227798599,3.2508082405210503,1.0
10,5,1,,3.340647576836702,1.4028133829660665,0.2870413204595204,6.149149797622966,1.0
11,5,2,,2.654265926929361,4.0568334670001525,0.17154684782240348,6.744083390529448,1.0
12,6,1,,3.2665231832743866,0.6421222124209711,0.3344402253824003,2.5104286082686955,1.0
13,6,2,,3.170518255873853,1.1684140934074918,0.31351180703696935,5.2642891890501,1.0
14,1,1,,2.575253770231676,0.7898510825753791,0.29646954738225917,5.335210438552201,3.0
15,1,2,,3.188429521331367,3.1124636787160287,0.23849171568694583,4.67941522337204,3.0
16,2,1,,1.4540417919287112,0.7491631444399136,0.3055760119273439,5.8601535977167725,3.0
17,2,2,,2.0093525501607834,1.173150676694589,0.3246886463627775,2.1427133265981255,3.0
18,3,1,,1.456898810608276,0.7711914411678533,0.29485251601794504,4.654530088377297,3.0
19,3,2,,1.8136994477682384,1.7601676488550009,0.3013334424685587,3.5051599571130247,3.0
20,4,1,,1.8179366260074725,4.173839330400736,0.10281404467983962,6.494355350978825,3.0
21,4,2,,2.0951988395401164,2.0658527551558103,0.10006880823077041,1.577099960484399,3.0
22,5,1,,2.986246939001679,0.7931111212771595,0.28370224891806795,2.1062357195902344,3.0
23,5,2,,2.106392546684297,2.4523050700316853,0.15206516422542438,2.2877827677382765,3.0
24,6,1,,2.6038037673030487,1.0223477905781433,0.2954334186406663,4.979830164554077,3.0
25,6,2,,2.2044803583940733,1.3559057944049582,0.28422696031106115,1.421300297787311,3.0
26,1,1,,3.678090119743072,0.6389767467863612,0.31402858031128766,9.382336800068648,4.0
27,1,2,,3.5668472614215943,1.258641493460479,0.2690324260608133,4.07569914469813,4.0
28,2,1,,2.3500075911101415,0.6266778262771986,0.3174769294706521,8.024230970388462,4.0
29,2,2,,3.1880507531053297,0.8103484521504036,0.3357306514900924,1.3127011970044669,4.0
30,3,1,,1.584371192992076,0.5054401350872508,0.3283957312284317,5.014283276651778,4.0
31,3,2,,1.9843048037315685,1.0115791791226325,0.30550848630736993,3.5247861284367654,4.0
32,4,1,,3.5484105324747146,0.7436003838962169,0.3277232983280466,7.727564673093772,4.0
33,4,2,,3.0349429371197205,2.0193493603495716,0.20639322619837974,3.525264312177172,4.0
34,5,1,,3.416620155023833,0.6245071942542904,0.3180660650967003,5.891012309474178,4.0
35,5,2,,2.5314446988542487,0.5021525103543878,0.36153486119110523,-4.760750267073018,4.0
36,6,1,,3.1273915904644523,0.5967567554296433,0.31294836580153934,6.219407025778665,4.0
37,6,2,,2.3022952663360354,1.1190883793799342,0.2986307798232737,4.660012097363705,4.0
38,1,1,,3.921887546284181,0.6832297667644331,0.3103005292874025,7.998290003916277,5.0
39,1,2,,3.738199020116751,1.1494621025740903,0.3238039827831959,0.9194412427509421,5.0
40,2,1,,3.7100656769223788,1.4570920606883715,0.29471496041674355,10.309772112782357,5.0
41,2,2,,2.5584638758923344,5.485696173045866,0.20780507578040303,6.83196968810156,5.0
