,Drift Rate,Boundary Separation,Non-decision Time,SAT
0,1.5033071888317548,0.5787266988656896,0.22964574574878488,Speed
1,1.1075423540179508,0.5049347793296586,0.22899950576714945,Speed
2,0.32268707871258745,0.482996723712815,0.16495467463120628,Speed
3,2.402445354042225,0.4806453755056893,0.28377950725204676,Speed
4,0.5139847869996802,0.48568506527897376,0.1651408488273366,Speed
5,2.050048460663771,0.5148354495937305,0.23736100740054117,Speed
6,1.615835613693047,0.4421629572597953,0.274204678808561,Speed
7,1.8218040753692333,0.42477694600398597,0.2570506678361978,Speed
8,1.712409457478888,0.512073579519723,0.2763014066356924,Speed
9,1.2862358031984669,0.4564565335164306,0.24067783179315771,Speed
10,0.2232304788206747,0.46646917006987826,0.16561869476366614,Speed
11,0.8988535356184361,0.49660693803194483,0.2083412663604549,Speed
12,0.4534472486550503,0.5251473591025956,0.16538425660275674,Speed
13,0.07488553157497589,0.40422032460691754,0.16930427198601133,Speed
14,1.3853267118482095,0.5227188593255587,0.3206235367735775,Speed
15,0.1557346606448889,0.4974716454892429,0.1746586207718217,Speed
16,0.7167196532861377,0.42999920731111346,0.17201528484468642,Speed
17,0.44520259150989566,0.4841146443491074,0.15582976739702048,Speed
18,2.3038754122008083,0.6344478706852219,0.39653757973813375,Speed
19,0.46829931914081796,0.48804698595239504,0.17655445865670322,Speed
20,0.26371080051459883,0.416823573662895,0.17494572938270825,Speed
21,0.4786705947438462,0.5350216812258288,0.17741300662891057,Speed
22,0.0,0.36610963962179205,0.1763081495521886,Speed
23,0.22054827973821292,0.4758614789042527,0.17739856880038296,Speed
24,0.19190758391580742,0.3896318164927808,0.17020329404082568,Speed
25,0.819210300310176,0.4594768663760749,0.18877836291470468,Speed
26,1.1682435501740644,0.48239190529738296,0.17370548916500428,Speed
27,0.18723484804368043,0.46388728364634657,0.1806811735041845,Speed
28,0.4270432777839166,0.47425904436435923,0.16467979711215314,Speed
29,0.1979492408312195,0.49749692397681844,0.17268705726186673,Speed
30,0.27317770554888915,0.4514968442450669,0.17440062186955796,Speed
31,0.46549343419712386,0.45584498676103585,0.17587219314940078,Speed
32,0.19794924927059482,0.4974969238370374,0.1723231127620758,Speed
33,0.09930972532783938,0.46915831314755974,0.1798620845300739,Speed
34,1.8973299795990968,0.6729197113307955,0.2950503926159327,Accuracy
35,1.9279829357552338,0.5477362570507652,0.2946586115825433,Accuracy
36,0.4617570617642665,0.5589700437284927,0.16261069902282577,Accuracy
37,2.65106029047617,0.502019568914374,0.30149677152704846,Accuracy
38,0.7660514402149271,0.5643066042797855,0.16600167022298373,Accuracy
39,2.417998091448317,0.5058797955811253,0.27056088626010877,Accuracy
40,1.9643719620822506,0.5073106627015415,0.2960270057259748,Accuracy
41,1.8274324656979732,0.6624086243449023,0.26436557705147645,Accuracy
42,2.163157983539011,0.577116033455851,0.2889553171809559,Accuracy
43,1.750067672502644,0.5112765798347859,0.2728133016590581,Accuracy
44,0.3153307593764809,0.5010367763042699,0.16564276676017942,Accuracy
45,1.3705076140449215,0.7518425955282165,0.24385506616857533,Accuracy
46,1.12371785205623,0.6067236184836047,0.20303796009929792,Accuracy
47,0.5904946045526568,0.49321061245502834,0.17355917590263198,Accuracy
48,1.5513976569533434,0.5048016605392398,0.34786090718231855,Accuracy
49,0.6652858112718008,0.5632186755494593,0.19161777980587363,Accuracy
50,0.8770067759221103,0.5063489664251056,0.17020673127338287,Accuracy
51,1.1953145663733529,0.7033572484126651,0.16048122172008716,Accuracy
52,2.6348220145561556,0.6932651247982996,0.3920102043273677,Accuracy
53,0.7695465797706876,0.5467471501997476,0.18322441456295874,Accuracy
54,0.18574313803632042,0.4560868477332265,0.17174327331650946,Accuracy
55,0.9527394895252148,0.6734984740934339,0.17605790303258373,Accuracy
56,0.23642769158227625,0.47243372448181137,0.1713853302242549,Accuracy
57,0.7072646882800654,0.6015251022563729,0.18113562505847564,Accuracy
58,0.9487254448883624,0.8021324422878785,0.16733342259665518,Accuracy
59,0.9903766688939456,0.540581959681481,0.1711175361744116,Accuracy
60,1.7236849108861394,0.6348505694228272,0.22808220586161293,Accuracy
61,0.11554107033468691,0.4431178506603146,0.22164125711507998,Accuracy
62,0.7978927156918211,0.5669139645536392,0.20565013156040796,Accuracy
63,0.22904878964172745,0.5695020835873883,0.16862463585457327,Accuracy
64,0.24556623011567666,0.46932506048299144,0.1717410883672179,Accuracy
65,0.3179011076562703,0.4924188719759199,0.17608491397743242,Accuracy
66,0.22906331333395405,0.5676575506403833,0.1690174055503852,Accuracy
67,0.7188890200287683,0.7945091710050246,0.18194641644699722,Accuracy
