,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition,participant
0,2,1,Speed,,2.9370409256175103,0.500910758569562,0.352839283224722,-1.4556997508674958,1.0
1,3,1,Accuracy,,3.6945400556731456,0.5109495196373199,0.3779432517907177,-0.2411660708694457,1.0
2,4,2,Speed,,2.3198192884937145,0.5472118277795808,0.369312072165078,4.786905648878288,1.0
3,5,2,Accuracy,,2.279193391597364,1.0330616377610005,0.3289166296551067,4.690587192684779,1.0
4,6,3,Speed,,0.8861583214447704,0.5847571529943174,0.3401315760784534,3.030560985505139,1.0
5,7,3,Accuracy,,1.6635476431974263,0.7864064900273213,0.366088004169373,4.631949184649721,1.0
6,8,4,Speed,,2.33273578471488,0.5015697892585855,0.3404155466742968,-0.780736983619826,1.0
7,9,4,Accuracy,,2.6758857190034475,0.5604906186782435,0.3870407227798599,3.2508082405210503,1.0
8,10,5,Speed,,3.340647576836702,1.4028133829660665,0.2870413204595204,6.149149797622966,1.0
9,11,5,Accuracy,,2.654265926929361,4.0568334670001525,0.1715468478224034,6.744083390529448,1.0
10,12,6,Speed,,3.2665231832743866,0.6421222124209711,0.3344402253824003,2.5104286082686955,1.0
11,13,6,Accuracy,,3.170518255873853,1.1684140934074918,0.3135118070369693,5.2642891890501,1.0
12,14,1,Speed,,2.575253770231676,0.7898510825753791,0.2964695473822591,5.335210438552201,3.0
13,15,1,Accuracy,,3.188429521331367,3.1124636787160287,0.2384917156869458,4.67941522337204,3.0
14,16,2,Speed,,1.4540417919287112,0.7491631444399136,0.3055760119273439,5.8601535977167725,3.0
15,17,2,Accuracy,,2.0093525501607834,1.173150676694589,0.3246886463627775,2.142713326598125,3.0
16,18,3,Speed,,1.456898810608276,0.7711914411678533,0.294852516017945,4.654530088377297,3.0
17,19,3,Accuracy,,1.8136994477682384,1.7601676488550009,0.3013334424685587,3.5051599571130247,3.0
18,20,4,Speed,,1.8179366260074723,4.173839330400736,0.1028140446798396,6.494355350978825,3.0
19,21,4,Accuracy,,2.0951988395401164,2.0658527551558103,0.1000688082307704,1.577099960484399,3.0
