,Boundary Separation,Drift Rate,Effective Inhibition,Non-decision Time,SAT
0,9.845890548407258,0.1277555119058196,0.2394352214036448,0.9679050216233732,Accuracy
1,2.001741844813915,0.2833318563908577,0.7646703376090316,0.585742320653988,Speed
2,7.803167161751076,0.2229481450645524,0.2597677462149501,0.1301923854334339,Accuracy
3,5.528978937891488,0.3579037208633751,0.3397206322118448,0.1236673558729068,Speed
4,1.3059306836462636,0.0368692812773344,0.8084316518281705,0.3388279374150584,Accuracy
5,0.613388413045115,0.0,-4.9970584232464725,0.1094958956514408,Speed
6,3.6927441826086858,0.08461273784002,0.5435448983636425,0.1452249005353373,Accuracy
7,1.239501785457132,0.1075065344053273,-0.4967956938354575,0.1022116044771584,Speed
8,3.811395296644656,0.1348004348237397,0.0857195667968435,0.7082075378350172,Accuracy
9,3.130988484247978,0.1699085527686201,0.1161107762647264,0.5460961976991479,Speed
10,9.956105950068007,0.1645829189775218,0.2253556766538005,0.8222418073753637,Accuracy
11,4.154302247647652,0.2395897982851762,1.7273571598673754,0.3180626356847874,Speed
12,3.196356767354955,0.2544224552352989,0.5893885534763414,0.6186939249680075,Accuracy
13,2.198374998386928,0.2242826785397841,2.7954473122427266,0.1429850291874161,Speed
14,3.659026883058374,0.3120784700265001,0.7025156208885408,0.1271149579681435,Accuracy
15,1.4083231927318494,0.2920368161860086,2.8015273679383457,0.5797287591855111,Speed
16,0.7662207937949406,0.0362643083556772,-4.503464868372174,0.117570128549322,Accuracy
17,1.2283584545109267,0.0,1.920081956504254,0.1058192925101979,Speed
18,1.0954587094200408,0.1428630828007419,-2.108620796581957,0.1014136580118892,Accuracy
19,1.117402881304029,0.0025323755666955,-1.4749961378700405,0.1021061109228479,Speed
20,6.3376735484056805,0.2213216127609905,0.2106290580401682,0.6815224999568482,Accuracy
21,7.766399685259994,0.644733154196275,1.7961094289847264,0.2240918730328154,Speed
22,9.968255634162093,0.0905491518554182,0.1240614804506042,0.8705456470934103,Accuracy
23,1.2941198166868997,0.010107498763545,2.9357007170544502,0.3148903163726141,Speed
24,3.371988307120288,0.2830283162631403,0.5366925991287985,0.4917189188490587,Accuracy
25,3.96966535134162,0.237354117295409,1.6763727831236173,0.2289590178093661,Speed
26,3.887969108823289,0.2068815376387308,0.0711453087745532,0.8656123163754714,Accuracy
27,5.608522348151727,0.227746280708159,0.8757848158322618,0.1141369462535104,Speed
28,4.452016067186657,0.1915529029981527,0.1869940070235076,0.2345711939549323,Accuracy
29,1.405417073949342,0.0963628688616122,0.5006927104671904,0.1006968161301157,Speed
30,9.558540782323009,0.1066172340307755,0.1506096625011688,0.1145557387185253,Accuracy
31,4.706493380830559,0.0,1.9256931286165773,0.2004981420986555,Speed
32,5.793548441730209,0.2502886296996394,0.8487795766760114,0.1918228689881841,Accuracy
33,2.0278193361483083,0.2667213574350182,0.705991196185711,0.102084987473433,Speed
34,2.051000490418024,0.1448073673320162,0.1103184098564897,0.1116331760292798,Accuracy
35,1.7173456139569252,0.2355010667266655,1.9073046025258564,0.1049341395400462,Speed
36,3.55116568206662,0.1259118082506299,0.4484119578198166,0.3039881387709339,Accuracy
37,2.0035635806777137,0.2269806829343953,0.6282800528053382,0.822238069972423,Speed
38,9.87301465376765,0.2584142716259981,0.1290855832503375,0.9980716831191576,Accuracy
39,4.315106309381492,0.2305506108021618,1.337321869009022,0.1250237794785814,Speed
40,4.583148319714582,0.1607249831344853,1.271073853857059,0.2792748685658565,Accuracy
41,2.2649104731599463,0.234662036872774,0.5951112045679599,0.101100306366013,Speed
42,3.429435894397198,0.0344314469513942,1.9138690496376023,0.1099437386495232,Accuracy
43,1.457636129864114,0.0,1.4125000648056318,0.2190435942410789,Speed
44,3.565481156386273,0.1741658475057494,0.2793588406572924,0.337622148671691,Accuracy
45,2.334677694537802,0.2692127866355543,3.0354998342659743,0.1049710629460842,Speed
46,6.0254781046953045,0.1791331598963824,0.2224620372535112,0.191831048897575,Accuracy
47,7.064709529907387,0.1995710083939302,0.3592308675622044,0.1729050215897072,Speed
48,3.599139925505411,0.0460680367292294,2.0069104343214,0.1254902393831487,Accuracy
49,3.670975261853021,0.3437321685217598,4.988955849169348,0.1398635251898103,Speed
50,0.9399494511309544,0.2521634487178943,-5.0,0.1007368392729107,Accuracy
51,1.4797612057668523,0.2724248741246339,1.945332222846885,0.3113179687382967,Speed
52,4.375859564295457,0.1785566530559201,0.2366230139435026,0.930733125733048,Accuracy
53,3.0154817877504803,0.1569079113504396,0.9656213929411608,0.1089039425986929,Speed
54,9.801327292106652,0.2296378922251092,0.243261792838223,0.6697657214345895,Accuracy
55,0.770840542551035,0.2433907683752441,-4.961109063996694,0.1029922699277234,Speed
56,6.699106780083792,0.1050030942660196,0.1149533563873752,0.326858066121016,Accuracy
57,4.835683699824234,0.1714426841812234,0.4931525250486062,0.1432485808588056,Speed
58,9.78639081654018,0.209492647779398,0.6024657014664901,0.9675481019458648,Accuracy
59,7.936528407953684,0.177082762657769,0.3821314514443499,0.7723003206716397,Speed
60,4.484992945993626,0.3221788032178344,0.4880571801739229,0.1108151967682287,Accuracy
61,0.9284955840912036,0.1019941323755606,1.654310603825445,0.1008235082850603,Speed
62,1.5327991781442365,0.1973473180843411,-1.303794180990974,0.2922602444079196,Accuracy
63,0.797599099888215,0.2494922898407216,-4.012913842762954,0.1045980681292795,Speed
64,1.9892742927418403,0.4513399994040915,0.1872823901822423,0.4421609104618207,Accuracy
65,0.5045657816986848,0.0,-4.630382342756691,0.1238805002086492,Speed
