,Unnamed: 0,Stimulus Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
0,2,1,1,1,0.0,1.5688881872661793,0.1003093743042052,17.04404669200326
1,3,1,2,1,0.5798957921919135,0.95446641229017,0.1853851144062961,8.473041935087275
2,4,1,3,1,0.2888899266078705,3.3189948378657768,0.1396646791173199,11.15486295955496
3,5,1,4,1,0.0716983385671975,4.568653522176715,0.1033548846641729,10.61380592874926
4,6,1,5,1,0.5106695065177336,0.9444851254932658,0.2259893340943665,3.78733510836883
5,7,2,1,1,0.3050779834560502,0.7821303905633945,0.1005444265180689,11.72801748655278
6,8,2,2,1,0.4312351787585537,1.3470825909322213,0.1700783538589779,10.033909049760616
7,9,2,3,1,0.3511119302157829,7.09129256481124,0.1017112469809869,12.974294297542938
8,10,2,4,1,0.4521290760928269,4.067203539442403,0.1008061796496254,9.68580956959146
9,11,2,5,1,0.7724812519568119,0.9207751670234332,0.2538407423255219,4.3331522817619454
10,12,3,1,1,0.3349280690763586,0.7081537014743509,0.1007739054740306,11.475465015688602
11,13,3,2,1,0.9140656070006874,4.037225216889077,0.1081658099809801,12.75651393089447
12,14,3,3,1,0.6752468048847201,2.4891825545201955,0.1400373578414206,10.453259328697015
13,15,3,4,1,1.0339575923980524,2.486806897924661,0.1512856250689628,9.706906531141232
14,16,3,5,1,0.9853944949453232,1.0495230605048835,0.2317770272713307,4.507815532471491
15,17,4,1,1,0.003597277583931,1.611070821122068,0.1006784289898602,17.099930199626368
16,18,4,2,1,0.4994432984802499,2.3620263125978544,0.1025957335105698,10.479277791296852
17,19,4,3,1,1.299254449930438,0.866754824820875,0.2365495675359167,9.386044177137755
18,20,4,4,1,2.017625858383173,1.0391539975174604,0.2311874642693244,8.026661287159582
19,21,4,5,1,2.336085032823985,1.1036608520578168,0.2728907911900182,6.624152708495504
20,22,5,1,1,0.0036426833760585,0.7822127557982297,0.1009552584205155,11.614849958738064
21,23,5,2,1,1.4554784285431028,1.0347991895355468,0.1842288360426621,8.715259576680257
22,24,5,3,1,2.4725367184787714,0.5997177989558482,0.2581141479231909,4.3518382289237705
23,25,5,4,1,1.9707951795597356,1.113574398331976,0.2320027567646161,8.678523112052074
24,26,5,5,1,2.611156374366588,1.1706051056601607,0.2439638136661242,5.327644440943115
25,27,1,1,2,0.0,1.6598684957206928,0.1503848048701305,30.0
26,28,1,2,2,0.0,1.8306891646323928,0.1005785976379629,20.557091285809904
27,29,1,3,2,0.0,0.9263893749827048,0.1034579343527221,2.096114496990173
28,30,1,4,2,0.0,0.8241888185467667,0.3129538318190327,2.046599906943942
29,31,1,5,2,0.0,2.396606468297812,0.2074249891594348,4.492519330344916
30,32,2,1,2,0.2267316639062619,3.5293455742595894,0.1203515595439442,30.0
31,33,2,2,2,0.0,2.392335976586484,0.137005414540215,30.0
32,34,2,3,2,0.005877799404114,0.5015285954600524,0.2018851298316535,-5.121050730683354
33,35,2,4,2,0.2889789109544438,1.987647862664771,0.1327185662335983,4.04184643607884
34,36,2,5,2,0.0,1.2772050745853183,0.1008841184309801,2.0382222789169595
35,37,3,1,2,0.0,0.555283907855741,0.100639921317486,10.085918207511227
36,38,3,2,2,0.0896424865893658,0.6063128685806793,0.1009486169649429,8.787596755545833
37,39,3,3,2,0.0,0.7670412126560304,0.1060173662658596,0.2604802416177627
38,40,3,4,2,0.0,0.5648483014595467,0.3028388758948104,-2.506883613689017
39,41,3,5,2,0.6528350383582213,1.6765222087113876,0.112536472259729,2.2116903158088976
40,42,4,1,2,0.0,1.5160157037602309,0.1003752540040283,17.922781334507622
41,43,4,2,2,0.0,0.9446804591751086,0.100936277403438,12.165579135347071
42,44,4,3,2,0.0,1.20409876548206,0.1119015982568612,3.1335740646338044
43,45,4,4,2,0.0635689487406486,1.6536759808500494,0.1813527759225154,3.388934062822896
44,46,4,5,2,0.0862595527021976,1.3156135855932083,0.3140777712108571,3.47628539608224
45,47,5,1,2,0.0,1.3204032539543116,0.1024285737412962,17.190613302875004
46,48,5,2,2,0.1400150913601594,0.6236581688442708,0.1776217998099815,22.424553281782448
47,49,5,3,2,0.0061560460797454,0.5001376580405132,0.1000842459359436,-7.47195655390049
48,50,5,4,2,0.3386790549286247,1.0163818163896812,0.4012006770835207,3.687761527314065
49,51,5,5,2,0.2619662916396378,2.2624603712103863,0.1088631324666478,2.871243632154917
50,52,1,1,3,0.0817364740203097,1.248325157561708,0.1004146893643671,6.350903694024352
51,53,1,2,3,0.6888927267682412,7.2771080887700945,0.1000614267688217,10.074609152925124
52,54,1,3,3,0.5783077050600187,4.946467208652044,0.1815810646340218,10.663261473361452
53,55,1,4,3,1.3301590308326046,1.0157386833864708,0.3243747559959097,7.561009770221785
54,56,1,5,3,0.5307150235026421,0.7959938519160605,0.3465611856279752,3.968027554913996
55,57,2,1,3,0.3140453237335072,1.3413127365298916,0.1000858327026806,6.685869544426858
56,58,2,2,3,1.3149031433136904,8.416204722056431,0.1260109723229938,11.28335272966411
57,59,2,3,3,1.264758942832792,0.7994288949096839,0.3386975887986599,9.62033445524358
58,60,2,4,3,1.324699586837642,0.8931592240933774,0.3196978088230215,6.951252751788648
59,61,2,5,3,1.1370688329223382,1.315112344834898,0.2745920106193032,4.865722442463418
60,62,3,1,3,0.5612743134299458,1.2544402656521734,0.1008122655254342,6.406647347499336
61,63,3,2,3,2.2133962698817147,8.021736479439985,0.1519093427953727,11.865758451347071
62,64,3,3,3,2.05533668184183,0.8201230794911911,0.3334359829316656,8.056872017198367
