,Participant,Difficulty,Incentive,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
25,25,med,gain,1.2033841219521746,0.5239760352791336,0.390115396135445,-2.7133871531188647
25,25,med,loss,1.5318801159275226,1.2118827730777162,0.2755265882377249,2.9400880545870156
25,25,med,none,0.6455056297149072,0.7267681477996011,0.34718766197944456,2.757492633152293
26,26,med,gain,0.9004521932913586,1.8627620873738442,0.2806706330081338,3.2381700941049854
26,26,med,loss,0.9374256080954966,1.79278860449774,0.20285108689481623,3.987043377245544
26,26,med,none,1.1073005767355872,2.9935825513929624,0.23426651782598884,3.41931817520236
27,27,med,gain,1.237224615988264,1.9341448795034468,0.2994554638190614,2.4815259213121936
27,27,med,loss,0.7232131983641203,1.7052888628127474,0.405515380630755,2.7783175876115505
27,27,med,none,1.1911049662213307,0.879244971385053,0.5014596331253958,0.597336152432268
28,28,med,gain,0.0,2.2660055792529072,0.10129079909811334,2.2344780453549946
28,28,med,loss,0.043996718906129474,2.137760924844958,0.10048689361830138,2.2588458103528684
28,28,med,none,0.22234300627925474,2.023482837443596,0.10272260068707462,2.117683383945219
29,29,med,gain,0.8376751052754361,2.363939913340648,0.2805036713828342,3.288090049971734
29,29,med,loss,0.0,1.6404462285265151,0.10014196450734114,1.6369650859032758
29,29,med,none,0.46149352998525456,2.936960291171114,0.20913672932911953,2.138366235378049
30,30,med,gain,1.5967398870550253,1.062176848354976,0.4587839200174264,2.3136320419614016
30,30,med,loss,0.6582070841617743,2.890957604784255,0.17234207498772297,3.2530108157353443
30,30,med,none,0.9902448458424322,1.255618805187137,0.42087895500037986,3.4221827690478337
31,31,med,gain,0.1320137550886584,2.9687499983533012,0.1739357524837587,2.6209905818578254
31,31,med,loss,0.5450684405497004,1.5216229773501488,0.2309219621153797,1.8267768339521082
31,31,med,none,0.43481647982664184,2.8974936724530576,0.24985909137912227,2.5411453016291587
32,32,med,gain,1.0246119495558808,1.1985093515901306,0.37843310404798286,2.708426586041844
32,32,med,loss,0.689322407410197,2.4168703802816456,0.1306952781816107,2.4258701331290804
32,32,med,none,1.1977668688035936,0.8021606590837853,0.4437611681793803,1.9321918320169422
33,33,med,gain,0.16283352638993823,1.082052528202166,0.19913779262252057,1.871726410913612
33,33,med,loss,0.0,1.076384636515166,0.16817672402378564,2.45605519943283
33,33,med,none,0.1512131852152283,1.2714069902979452,0.17803893325641595,3.3819783834222275
34,34,med,gain,1.02128450204166,1.5320664848251364,0.39616878070993,4.644873756143997
34,34,med,loss,0.7554096216277745,2.2045408337246535,0.21761385834647518,3.282125536092068
34,34,med,none,1.0806450266499248,2.8462688029055077,0.30556130627225,4.706197115044115
35,35,med,gain,0.23765655343235775,2.193088802398302,0.10389836793701357,3.3834002689223586
35,35,med,loss,0.08426381812177748,0.949773853514269,0.24412642042583366,1.9205736123385793
35,35,med,none,0.07915457900405444,1.7183180700129472,0.11491229375249307,2.9732922887911304
