,Participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition,SAT,participant
2,,4.743588671335942,1.2812133556346041,0.3422007756380265,1.295080390242025,Speed,1.0
3,,4.478144450048735,1.325500606672363,0.3350233725969324,1.8765615612219595,Speed,2.0
4,,4.391122384248328,1.5049336445659027,0.3207732122559075,2.2299623217487277,Speed,3.0
5,,4.308305996674499,3.024579548742676,0.2210720506638914,3.6827850304336356,Speed,4.0
6,,4.353144903841753,3.9090211742971723,0.17457618312616885,3.788300683074661,Speed,5.0
7,,4.154923484172666,3.8255984734481667,0.19155185544346537,4.286063743065424,Speed,6.0
8,,4.203778675967406,1.870922451900758,0.29146658387296687,3.0974095499514016,Speed,7.0
9,,5.52232853953593,1.304892139281749,0.3231746664535131,-0.8332229377807414,Speed,8.0
10,,4.549235391460913,1.2075405121202234,0.3404117059435442,0.729584361958282,Speed,9.0
11,,4.759492346640384,1.0732821683764406,0.35626996503394065,0.026454577329369747,Speed,10.0
12,,5.232113081897583,1.3351094822437717,0.3295838062913729,-0.15660991233563246,Speed,11.0
13,,4.435920573919423,1.380888259989704,0.3306198031885616,1.8280631929537112,Speed,12.0
14,,4.395397566115305,1.225641828414525,0.3468006949387359,1.6580436927964446,Speed,13.0
15,,4.330578888802948,1.454530338009692,0.3199414618232148,2.111733450305605,Speed,14.0
16,,4.806044741010254,1.1110458803566967,0.3534255746696605,-0.025426506481456175,Speed,15.0
17,,5.468880270414679,1.117014971130608,0.35412018851682586,-1.0860440495501045,Speed,16.0
18,,4.534702927454047,1.6220686429861026,0.3049510178909255,1.8606986392114866,Speed,17.0
19,,4.242885719136972,1.608938984790231,0.307833381534188,2.3640128769620543,Speed,18.0
20,,4.564449603440915,1.1119653525283821,0.3569682469182689,0.7061384412773324,Speed,19.0
21,,5.494522875724975,1.0518260020089718,0.3568219585410205,-1.9267562996619854,Speed,20.0
22,,4.295549050007605,1.0411669252467988,0.35981631841018363,0.8616175424768445,Accuracy,21.0
23,,4.701704190890232,0.9522534402980147,0.3670814256421323,-0.6873130716756257,Accuracy,22.0
24,,4.314606131101953,2.232439552658252,0.26035209307204177,3.056339663203175,Accuracy,23.0
25,,4.546314273824155,1.4451559611990938,0.324539895801974,1.8167626690124534,Accuracy,24.0
26,,4.447806810615786,1.747097628122905,0.29853800116344675,2.6582647167447706,Accuracy,25.0
27,,4.278818184437538,3.6524742677114674,0.19515636129948027,4.061015833348524,Accuracy,26.0
28,,5.314646817224402,1.161977534854846,0.34581746501559,-0.7459844142992468,Accuracy,27.0
29,,4.406967631677488,1.7068948752812338,0.309214124111727,2.599450116805607,Accuracy,28.0
30,,4.816397593662608,1.440045966739535,0.3196133634829298,1.217908523027292,Accuracy,29.0
31,,4.167046372533542,3.275880196675673,0.20508431162251467,3.813642170522962,Accuracy,30.0
32,,4.683797772571355,1.4228686396740478,0.32720003632169936,1.496030450635753,Accuracy,31.0
33,,5.068275851230394,0.9479176914691969,0.36477741071447173,-1.8027590308487993,Accuracy,32.0
34,,5.140299888399886,1.1760095497612664,0.3446633056188366,-0.39406482067282494,Accuracy,33.0
35,,5.080891633936468,1.3320221374246488,0.3258880857821197,0.1021152540268855,Accuracy,34.0
36,,4.560096997939427,1.922126035974328,0.27097714965594255,2.1201730543685864,Accuracy,35.0
37,,4.806930703061191,1.0694447309666963,0.356198617515755,0.00822111220437409,Accuracy,36.0
38,,4.199007716731814,1.6049327792160084,0.311035105566132,2.8034377566902657,Accuracy,37.0
39,,4.8842096832869855,1.106551834480022,0.3533085945341397,-0.12619425984242463,Accuracy,38.0
40,,5.805783637539278,1.2115745725018114,0.34043383472715766,-1.5653774994299996,Accuracy,39.0
41,,4.429056420228318,1.5167650664135839,0.318261657085358,2.242438559472634,Accuracy,40.0
