,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
0,2,1,Speed,,5.035512013738585,0.932458302766423,0.349688856338536,1.0
1,3,1,Accuracy,,5.512120705525908,0.7879496899490186,0.3759211416405115,1.0
2,4,2,Speed,,3.105129259855528,0.5989377824150882,0.3748961938140291,1.0
3,5,2,Accuracy,,3.6936564094752287,1.0458928690292846,0.3553976308500187,1.0
4,6,3,Speed,,1.806203934999041,0.9768429912048096,0.3475060478829695,1.0
5,7,3,Accuracy,,2.00502908670201,0.6524427565833149,0.3810467862115162,1.0
6,8,4,Speed,,3.918931706730436,0.8854524460321884,0.3382964252852581,1.0
7,9,4,Accuracy,,3.983151964764974,0.7129871114417582,0.3934511204481919,1.0
8,10,5,Speed,,4.312374296979047,0.8146422522082732,0.3511084956811706,1.0
9,11,5,Accuracy,,4.800198673818339,1.1271423039145196,0.3562160839493169,1.0
10,12,6,Speed,,5.533249849059804,0.9546483050776208,0.3373358655786266,1.0
11,13,6,Accuracy,,4.929104042976581,1.061192412978942,0.3506582216029984,1.0
12,14,1,Speed,,3.983853238015853,0.8027114362267589,0.3124325255190488,3.0
13,15,1,Accuracy,,5.735437663838887,1.490066582041671,0.38451599934285,3.0
14,16,2,Speed,,2.4789666954829377,0.7976990812643491,0.3179990127831149,3.0
15,17,2,Accuracy,,3.5639639885746885,1.4907170231327784,0.3456210518733795,3.0
16,18,3,Speed,,2.4781093251660664,0.8751857185587669,0.3119755904368883,3.0
17,19,3,Accuracy,,2.820292841292859,1.3350710076378136,0.3962952645395639,3.0
18,20,4,Speed,,2.4706448626404818,0.8900052401533232,0.2731862414235795,3.0
19,21,4,Accuracy,,4.072446222363571,2.6441195391604624,0.10059635645166,3.0
20,22,5,Speed,,2.784368197507474,0.6178066600116177,0.2917592475916601,3.0
21,23,5,Accuracy,,2.639964560672531,1.3117239226948996,0.345088849431321,3.0
22,24,6,Speed,,4.257849511603105,0.950745043436795,0.3346031726153776,3.0
23,25,6,Accuracy,,4.018405895894111,1.8564111469851736,0.3137092197059698,3.0
24,26,1,Speed,,5.65880464471799,0.6593364342806103,0.3224878240069726,4.0
25,27,1,Accuracy,,5.014723194254144,1.0167193263595422,0.3163718458078604,4.0
26,28,2,Speed,,3.702080254425385,0.6651169434129488,0.3253506788293773,4.0
27,29,2,Accuracy,,5.18341774444422,1.1785873046019153,0.3398040024177726,4.0
28,30,3,Speed,,3.170669644254034,0.8131325219024697,0.3339767738222197,4.0
29,31,3,Accuracy,,3.0987214296280925,1.0043348171964035,0.3377182385252131,4.0
30,32,4,Speed,,5.653802556917906,0.7705084780128922,0.3397450380810211,4.0
31,33,4,Accuracy,,5.73917964330038,1.5330703269099353,0.3234403052133257,4.0
32,34,5,Speed,,4.080810471162254,0.5635660820160304,0.327634395294016,4.0
33,35,5,Accuracy,,4.5701659481972,1.2241952010515391,0.3467789236643253,4.0
34,36,6,Speed,,4.716239928920145,0.6870921108948668,0.3170159944223144,4.0
35,37,6,Accuracy,,4.136647948286771,1.1730972077662418,0.3421758997401068,4.0
36,38,1,Speed,,5.935491124504308,0.7057382951465692,0.3181498435001182,5.0
37,39,1,Accuracy,,4.934794850282168,1.3461287964356334,0.3301090892583733,5.0
38,40,2,Speed,,5.658313540168681,0.7560234883882494,0.3447927888703821,5.0
39,41,2,Accuracy,,3.6560875469563534,0.9962580518745944,0.4164326527597755,5.0
40,42,3,Speed,,3.836253992207738,0.8296838785197288,0.3352792079191979,5.0
41,43,3,Accuracy,,4.304635913215104,0.9085892310209074,0.457792432608141,5.0
42,44,4,Speed,,5.332049552694935,0.9038629890770168,0.3124128229241837,5.0
43,45,4,Accuracy,,4.008795533055186,1.0280023549073245,0.3956053430809699,5.0
44,46,5,Speed,,5.388167174034908,0.559997815387164,0.3701353486704432,5.0
45,47,5,Accuracy,,3.491347944494465,0.943436502881633,0.4646057356678558,5.0
46,48,6,Speed,,4.45742913895239,0.8270687215010695,0.2931962712473129,5.0
47,49,6,Accuracy,,4.400282592283027,1.2095285076696165,0.4212373802989262,5.0
48,50,1,Speed,,4.134894317379544,0.9245180498527932,0.2490488987090731,6.0
49,51,1,Accuracy,,5.53894481035359,1.188355503914318,0.3629421625896731,6.0
50,52,2,Speed,,2.2759348743291,0.9942990518965612,0.2157957402878124,6.0
51,53,2,Accuracy,,3.745486296996863,1.0141881859934931,0.4222778231189898,6.0
52,54,3,Speed,,1.1049015288838124,1.050319595476272,0.1964941049394143,6.0
53,55,3,Accuracy,,2.8520356081991007,1.0786698432643411,0.4275012168123849,6.0
54,56,4,Speed,,1.8391730384188976,0.970024548508458,0.2181365768435471,6.0
55,57,4,Accuracy,,4.525403663432353,1.4592220999715606,0.3817555497899753,6.0
56,58,5,Speed,,1.947292043000255,0.945567943733748,0.2733833452263653,6.0
57,59,5,Accuracy,,4.375472239069121,1.3234680890278163,0.3866200656830159,6.0
58,60,6,Speed,,1.7250566335596424,1.1207294618061705,0.1572537874454604,6.0
59,61,6,Accuracy,,3.927660584016696,1.1390215504130716,0.3499488631685827,6.0
60,62,1,Speed,,0.8161154573887387,0.7045184704314787,0.1762802419970312,7.0
61,63,1,Accuracy,,3.7688009099707616,1.1850787646809642,0.256682790516558,7.0
62,64,2,Speed,,3.638193932707973e-08,0.886551190610839,0.243888069059705,7.0
63,65,2,Accuracy,,3.021217564515997,1.1572268976362985,0.3130288700904476,7.0
64,66,3,Speed,,0.0,0.9035740909662366,0.1890156976088223,7.0
