,Parameter,Difference
0,Drift Rate,-0.6168097325411239
1,Drift Rate,0.6926784470789735
2,Drift Rate,0.0
3,Drift Rate,-2.09162579496997
4,Drift Rate,-0.19043041574098574
5,Drift Rate,-0.3108553997911332
6,Drift Rate,-2.8886086036351646
7,Drift Rate,-0.7851734573233835
8,Drift Rate,-0.6976527758683717
9,Drift Rate,-0.4325826488165914
10,Drift Rate,-1.1299744596634835
11,Drift Rate,-0.48090855516736
12,Drift Rate,1.036964444598778
13,Drift Rate,-1.7972160472004952
14,Drift Rate,0.3696042979652486
15,Drift Rate,-3.113890619318765
16,Drift Rate,-1.3091074882837859
17,Drift Rate,-1.244515903259554
18,Drift Rate,-1.1029296239217568
19,Drift Rate,-1.4869652889099718
20,Drift Rate,-1.905271375646274
21,Drift Rate,-0.8316476470239591
22,Drift Rate,-2.7567779986021375
23,Drift Rate,-1.335384241780028
24,Drift Rate,-1.5804696531445797
25,Drift Rate,-1.9783740187014058
26,Drift Rate,2.950485548348613
27,Drift Rate,-1.2610576632980344
28,Drift Rate,-0.4503746992257831
29,Drift Rate,0.2541281207706656
30,Drift Rate,-2.3750124655920986
31,Drift Rate,-2.7450223677340135
32,Boundary Separation,-0.18742209755802997
33,Boundary Separation,-0.03250011076624748
34,Boundary Separation,0.09764353286338667
35,Boundary Separation,-0.8696793530668859
36,Boundary Separation,-0.017370234955163433
37,Boundary Separation,-0.27113624988843577
38,Boundary Separation,-0.4239190954643637
39,Boundary Separation,0.012506376803253949
40,Boundary Separation,0.08146311089534353
41,Boundary Separation,-0.15952637928861657
42,Boundary Separation,-0.11610728006084536
43,Boundary Separation,-0.20010258175607631
44,Boundary Separation,0.1394997557689156
45,Boundary Separation,-0.31398879671863544
46,Boundary Separation,-0.1867319023418872
47,Boundary Separation,-0.6212970147051549
48,Boundary Separation,-0.29233036936472445
49,Boundary Separation,-0.290564195931431
50,Boundary Separation,-0.1206997392091762
51,Boundary Separation,-0.12156037528576291
52,Boundary Separation,-0.2864820798542872
53,Boundary Separation,-0.06897037967263053
54,Boundary Separation,-0.14066404947637223
55,Boundary Separation,0.0
56,Boundary Separation,-0.060710353827372
57,Boundary Separation,-0.06460550337117676
58,Boundary Separation,1.267832290225247
59,Boundary Separation,-0.019992687591113834
60,Boundary Separation,0.0
61,Boundary Separation,-0.053520926807030134
62,Boundary Separation,-0.1484656861766419
63,Boundary Separation,-0.35120999434580147
64,Non-decision Time,-0.03688084762871968
65,Non-decision Time,-0.03462776046222027
66,Non-decision Time,-0.4398923753549398
67,Non-decision Time,0.06402548772913319
68,Non-decision Time,-0.082867809230982
69,Non-decision Time,-0.013855182036216829
70,Non-decision Time,-0.1372277976752959
71,Non-decision Time,-0.11076513295519883
72,Non-decision Time,-0.1556376583403879
73,Non-decision Time,-0.1055823628010524
74,Non-decision Time,-0.06435046342160688
75,Non-decision Time,-0.006844869951486199
76,Non-decision Time,-0.013534860212338962
77,Non-decision Time,-0.057376352563505095
78,Non-decision Time,0.011858889573136577
79,Non-decision Time,0.01644387558708932
80,Non-decision Time,-0.07881248397587948
81,Non-decision Time,0.015410787850486496
82,Non-decision Time,-0.010542545727827923
83,Non-decision Time,-0.07707978944394017
84,Non-decision Time,-0.049978856119424514
85,Non-decision Time,-0.1349021742324647
86,Non-decision Time,-0.11809041765367079
87,Non-decision Time,-0.08559216473260262
88,Non-decision Time,-0.07756238027888548
89,Non-decision Time,-0.14995801390312702
90,Non-decision Time,-0.12832571229472098
91,Non-decision Time,-0.04146068681059062
92,Non-decision Time,-0.0230592144611102
93,Non-decision Time,0.003726783364745301
94,Non-decision Time,-0.08652753308374539
95,Non-decision Time,-0.025825729967106886
