,Boundary Separation,Drift Rate,Effective Inhibition,Non-decision Time,SAT
0,1.764622155276022,0.8567832010621274,4.822051977513124,0.2374728590491219,Accuracy
1,4.50825751577268,0.1579137883954563,9.10549925709772,0.100806604781186,Speed
2,1.3137254205416564,1.6658862396171426,5.196680398926739,0.3101638152410675,Accuracy
3,0.6837610077662069,2.033184227214545,3.442140477770018,0.3333900119880826,Speed
4,8.314508457536812,0.0,3.783237295696596,0.1237802895474979,Accuracy
5,1.3781570417341338,0.0,2.258663667825784,0.10213174445513,Speed
6,3.688702768831118,6.0,2.176027521652721,0.1207584680163382,Accuracy
7,0.9122363127541612,3.6858359866028736,3.1093908386339284,0.3074359947930641,Speed
8,1.0195221276424515,2.2063088295896383,2.2805241698659664,0.2836670260513778,Accuracy
9,1.3032303193477277,1.953186327579308,3.9017914678956114,0.1866729845458032,Speed
10,3.8271696853117296,1.7667962215625337,4.419741007242135,0.1012641768186398,Accuracy
11,1.904030508354165,1.2711936558546897,7.237527647291908,0.183863415533471,Speed
12,2.9089645027877515,3.9804416630877,4.451844274679979,0.2366212756514999,Accuracy
13,1.2386766102527025,1.1727532320981169,6.867380028447459,0.1775555579732357,Speed
14,0.8685740764412495,2.1465755782608404,2.2597714193193674,0.2622897725564296,Accuracy
15,2.1324984066955275,1.2245775280400633,5.502223004056832,0.1006829382204799,Speed
16,1.4086468411809725,1.4159865563159793,4.780075145090606,0.2513553707078331,Accuracy
17,2.1400076361140257,0.7469279309325295,4.762245560401083,0.1000515545365989,Speed
18,1.9375048500318448,0.2735101438951904,3.962435337680523,0.1107755321011663,Accuracy
19,1.221441197587902,0.0128569447071365,7.136367203451352,0.1002257529188762,Speed
20,3.1837186828388573,3.663261839582945,4.172492728913692,0.2312746400631473,Accuracy
21,6.226873468918452,2.5825158150862184,5.538785508448876,0.1045503130744605,Speed
22,1.044289592805276,2.755567664341048,3.267795396356175,0.2956687138067332,Accuracy
23,0.8408214920305133,2.221872216234688,6.526894983949635,0.2963788519515177,Speed
24,1.4183458521402987,2.6890881486674454,8.305846884042317,0.26781731878962,Accuracy
25,1.2701636096218234,3.701731177322779,5.412066762888597,0.2563474436328036,Speed
26,1.192053182522125,3.1432883280513,3.044430929767437,0.2647325523631336,Accuracy
27,0.7670232350306732,1.4582208109747934,5.40394829077641,0.2226049185704435,Speed
28,3.12899439460297,0.0674823570224084,4.464563824680052,0.1052028483623093,Accuracy
29,5.136911909293384,0.3169046082780085,7.946512252489415,0.1003267776233056,Speed
30,5.732808734720478,6.0,3.986872588247413,0.1035589865330443,Accuracy
31,0.9323384043047156,2.711198426959858,5.8668017725374,0.3077858492885908,Speed
32,1.3255720003098768,1.762308144367277,2.437293115822298,0.1886433014615394,Accuracy
33,1.2806018602965543,0.464983894628485,5.539851064492232,0.1007912134007524,Speed
34,1.2854716498924377,3.505145946975811,5.152247108467659,0.2268797916810198,Accuracy
35,1.034880737789465,2.656662463110796,7.175615273117282,0.2368173339528135,Speed
36,0.961922000554507,2.647530730205052,5.113413659834284,0.2576264999348422,Accuracy
37,0.7148536244774011,1.6073770111959689,5.370438495722479,0.2529258243276035,Speed
38,1.0850626951303075,2.98341116203127,4.671725122499052,0.2526956639858332,Accuracy
39,2.9379461622410736,1.2776999465644228,8.606694959366664,0.1063328506795869,Speed
40,1.98069163309344,2.260945237241472,5.292122995390252,0.1877638724939751,Accuracy
41,2.704389764567133,0.2840705788881719,10.919053415882626,0.1061102614758179,Speed
42,1.5977195012223957,1.2316630736935592,5.4768759987777145,0.2443418616676896,Accuracy
43,1.8398622055637623,0.3040861230327693,6.947481219396916,0.1008543284768048,Speed
44,4.33773303545201,6.0,5.195988837341279,0.2043094365634007,Accuracy
45,5.429800950495524,2.6816977721664976,8.837206634200008,0.1256884988759097,Speed
46,0.5879861200382281,3.192253504562425,5.962553177205809,0.2979288351656469,Accuracy
47,5.784030417424837,1.254374760467312,14.220528874461174,0.1000413593093547,Speed
48,0.72756114101648,3.676030703237208,3.4165863906261915,0.3153271545827484,Accuracy
49,2.370820151202409,1.869747187361157,10.498704516379656,0.1799521779517887,Speed
50,0.763338524484003,2.8322440879819424,3.1366238202635386,0.2851164657794312,Accuracy
51,1.7288169162728932,0.6306251821584894,8.280582764811989,0.1004491922558975,Speed
52,1.756433696516976,2.6380923193611165,5.407921867915685,0.2179693229053326,Accuracy
53,2.8191641331659065,6.0,1.216428685103787,0.1061130378968662,Speed
54,0.8140437770306876,3.62310380917465,6.88799494229843,0.2706144255562931,Accuracy
55,0.8527824546431715,2.3165677126873074,8.44573068887931,0.2361558071840239,Speed
56,0.5217032682430478,3.2695131396307726,4.943548826472251,0.3069277016865523,Accuracy
57,7.68556066112765,2.1555786786026965,13.100174426115109,0.1127782077845517,Speed
58,0.9905991759988612,2.7816809029115466,6.362099343788726,0.2890739977083218,Accuracy
59,0.6998413167758653,2.972308777493329,4.350496491476791,0.3011316454184516,Speed
60,3.870382057378055,3.9030628175480375,5.738795335086448,0.1301215650570002,Accuracy
61,2.046376056681622,1.411285109711802,7.219745251295775,0.1456269884992758,Speed
62,1.8896021785297856,4.01649544422572,7.008919626593992,0.2225065087197476,Accuracy
63,1.865473964018518,1.539535580990702,10.951388006767312,0.1861456389800573,Speed
